iteration	score	total_return_pct	max_dd_pct	dd_violated	wr_violated	total_trades	win_rate	sharpe	pf	delta	status	description
422	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	ADAPTIVE_TP_RSI_EXTENDED_SCALE 0.9->0.6
423	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	RSI_FAST_OVERSOLD 30->25
424	0.44	0.63	29.96	False	False	118	39.83	1.6741	0.5756	0.01	BELOW_THRESHOLD	BULL_RSI_OVERSOLD 30->25
425	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_RISK_MULT 0.5->1.5
426	0.12	0.18	34.42	False	False	123	42.28	2.0237	0.7557	-0.31	DISCARD	REGIME_PARTICLE_WEIGHT 0.1->0.2
427	0.2	0.43	54.74	False	False	119	40.34	2.3911	0.5458	-0.23	DISCARD	BEAR_RISK_MULT 0.6->1.2
428	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_COMPOSITE_THRESHOLD 0.35->0.25
429	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_TRAILING_START_R 0.5->1.5
430	0.02	0.02	29.96	False	False	117	38.46	1.6541	0.5457	-0.41	DISCARD	BEAR_WEIGHT_SENTIMENT 0.0->0.1
431	0.0	-0.85	62.22	True	False	131	37.4	2.7918	0.4396	-0.43	DISCARD	BULL_STOP_ATR_MULT 3.5->1.0
432	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BEAR_TRAILING_ATR_MULT 0.8->1.2
433	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	GARCH_EXTREME_VOL_THRESHOLD 2.5->1.5
434	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	REGIME_NLP_WEIGHT 0.25->0.1
435	0.21	0.33	38.34	False	False	133	39.1	2.2161	0.5656	-0.22	DISCARD	VIX_COMPLACENCY_SHORT_BOOST 0.05->0.15
436	0.52	0.75	29.94	False	False	119	39.5	1.5864	0.5901	0.09	BELOW_THRESHOLD	CONFIDENCE_HIGH_MULT 2.5->1.0
437	-1.56	-2.17	28.08	False	False	136	33.09	1.7367	0.4075	-1.99	DISCARD	BEAR_STOP_ATR_MULT 3.5->1.2
438	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	CUSUM_WINDOW_BARS 6->48
439	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_WEIGHT_RSI 0.15->0.3
440	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BULL_WEIGHT_TREND 0.3->0.15
441	0.02	0.04	36.39	False	False	128	42.97	2.1234	0.7317	-0.41	DISCARD	REGIME_DAILY_TREND_WEIGHT 0.2->0.4
442	0.37	0.59	37.54	False	False	123	39.02	1.8712	0.5219	-0.06	DISCARD	BULL_WEIGHT_SENTIMENT 0.15->0.2
443	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	GARCH_EXTREME_VOL_THRESHOLD 2.5->1.3
444	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	GARCH_BLEND_WEIGHT 0.7->0.5
445	0.48	0.69	29.96	False	False	119	40.34	1.6798	0.5854	0.05	BELOW_THRESHOLD	SEQ_MACRO_FAVORABLE_SIZE_SCALE 1.2->1.0
446	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BULL_TRAILING_ATR_MULT 0.5->1.0
447	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	MIN_HOLD_BARS 24->18
