indicator,horizon,regime,dcor,n_samples
Vol_ratio_20,fwd_48bar,SIDEWAYS,0.011016620905531032,12813
Vol_ratio_50,fwd_12bar,ALL,0.018486635293085103,48044
Vol_ratio_50,fwd_12bar,BULLISH,0.07006646367660348,20444
Vol_ratio_50,fwd_12bar,BEARISH,0.0325316533087763,14776
Vol_ratio_50,fwd_12bar,SIDEWAYS,0.013739850446441578,12824
Vol_ratio_50,fwd_48bar,ALL,0.009167320391978215,48008
Vol_ratio_50,fwd_48bar,BULLISH,0.04325917188009731,20444
Vol_ratio_50,fwd_48bar,BEARISH,0.024240887925089785,14746
Vol_ratio_50,fwd_48bar,SIDEWAYS,0.010194048342964826,12818
Volume,fwd_12bar,ALL,0.10123390363902254,48221
Volume,fwd_12bar,BULLISH,0.09768857494872457,20570
Volume,fwd_12bar,BEARISH,0.13881810292360175,14778
Volume,fwd_12bar,SIDEWAYS,0.1219939727582721,12873
Volume,fwd_48bar,ALL,0.10386255468253862,48185
Volume,fwd_48bar,BULLISH,0.08520314055249839,20570
Volume,fwd_48bar,BEARISH,0.17513457387004958,14748
Volume,fwd_48bar,SIDEWAYS,0.10930688571747087,12867
